City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
209,nuuk,64.1835,-51.7216,9.93,93,100,4.63,GL,1689460314
210,nizhnevartovsk,60.9344,76.5531,13.01,62,0,4.92,RU,1689460314
211,codrington,-38.2667,141.9667,8.6,79,71,3.52,AU,1689460093
212,jamestown,42.097,-79.2353,26.8,65,0,0.0,US,1689460051
213,vila velha,-20.3297,-40.2925,20.53,80,75,2.06,BR,1689459800
214,cockburn town,21.4612,-71.1419,28.38,84,0,7.35,TC,1689459806
215,touros,-5.1989,-35.4608,25.42,82,4,6.07,BR,1689460116
216,jangaon,17.7167,79.1833,24.62,86,100,4.45,IN,1689460315
217,la villa del rosario,10.3258,-72.3134,27.81,74,62,5.72,VE,1689460315
218,antsiranana,-12.2787,49.2917,22.14,65,40,3.15,MG,1689459895
219,howrah,22.5892,88.3103,27.0,83,75,2.06,IN,1689459717
220,ulaangom,49.9811,92.0667,20.37,54,31,1.25,MN,1689460316
221,selfoss,63.9331,-20.9971,10.02,76,74,4.18,IS,1689459920
222,wotho,10.1657,166.0102,28.47,74,59,7.33,MH,1689460316
223,imbituba,-28.24,-48.6703,13.96,89,100,4.26,BR,1689460316
224,melfort,52.8667,-104.6177,21.07,35,99,5.66,CA,1689460316
225,prnjavor,44.8703,17.6628,21.59,89,0,1.06,BA,1689460317
226,mukalla,14.5425,49.1242,29.95,63,24,1.19,YE,1689460317
227,gibara,21.1097,-76.1317,32.62,81,70,6.94,CU,1689460318
228,egilsstadir,65.2653,-14.3948,6.95,81,75,6.17,IS,1689460107
229,pithoragarh,29.5833,80.2167,17.8,97,29,0.51,IN,1689460318
230,san pedro pochutla,15.7333,-96.4667,32.84,60,13,2.05,MX,1689460318
231,chonchi,-42.6128,-73.8092,6.18,93,26,1.42,CL,1689460085
232,hammerfest,70.6634,23.6821,12.25,76,75,2.06,NO,1689460319
233,college,64.8569,-147.8028,19.77,67,100,3.09,US,1689460041
234,annan,54.9884,-3.2565,14.71,95,95,5.07,GB,1689460319
235,beyneu,45.3167,55.2,27.5,39,0,4.31,KZ,1689460093
236,petropavlovsk-kamchatsky,53.0452,158.6483,14.33,94,75,2.0,RU,1689460085
237,vilyuysk,63.7553,121.6247,6.91,91,100,4.99,RU,1689459887
238,bargaal,11.2864,51.0773,29.67,51,0,12.02,SO,1689460320
239,turtas,58.9417,69.1325,11.19,87,100,3.48,RU,1689460320
240,la ronge,55.1001,-105.2842,19.14,48,75,5.66,CA,1689460320
241,lerwick,60.1545,-1.1494,14.0,93,95,2.8,GB,1689460321
242,alice springs,-23.7,133.8833,8.75,93,75,3.09,AU,1689460069
243,la porte,29.6658,-95.0194,39.51,62,20,5.14,US,1689460321
244,al jawf,29.5,38.75,31.57,13,3,4.22,SA,1689460321
245,boonville,38.9736,-92.7432,32.43,58,0,3.6,US,1689460322
246,batangafo,7.3008,18.2833,21.53,87,96,1.06,CF,1689460322
247,naliya,23.2667,68.8333,27.59,78,62,6.75,IN,1689460323
248,hadibu,12.65,54.0333,25.39,80,26,8.34,YE,1689460097
249,poronaysk,49.2167,143.1167,15.09,77,100,1.4,RU,1689460093
250,uturoa,-16.7333,-151.4333,26.63,61,4,4.67,PF,1689460105
251,brookings,44.3114,-96.7984,23.92,63,75,6.69,US,1689460104
252,dalbandin,28.8947,64.4101,31.2,12,1,2.48,PK,1689460324
253,dapa,9.7594,126.0531,27.99,73,99,1.38,PH,1689460324
254,srivardhan,18.0333,73.0167,26.2,89,100,4.68,IN,1689460325
255,praia da vitoria,38.7333,-27.0667,21.14,83,75,4.51,PT,1689460325
256,meiganga,6.5167,14.3,18.61,97,79,0.75,CM,1689460325
